species,lat,lon,country,eventDate,basisOfRecord,presence,10m_bio_1,10m_bio_2,10m_bio_3,10m_bio_4,10m_bio_5,10m_bio_6,10m_bio_7,10m_bio_8,10m_bio_9,10m_bio_10,10m_bio_11,10m_bio_12,10m_bio_13,10m_bio_14,10m_bio_15,10m_bio_16,10m_bio_17,10m_bio_18,10m_bio_19,10m_elev
Apis mellifera,-0.697555,37.336982,Kenya,2025-04-02T12:06,HUMAN_OBSERVATION,1,223.0,11.82308292388916,77.4395523071289,102.35331726074219,29.920499801635742,14.652999877929688,15.267499923706055,22.62933349609375,20.361291885375977,22.73200035095215,20.361291885375977,877.0,223.0,4.0,99.61428833007812,421.0,23.0,346.0,23.0,1117.0
Apis mellifera,-1.105151,36.630567,Kenya,2025-04-13T15:48,HUMAN_OBSERVATION,1,239.0,13.101646423339844,74.64368438720703,133.33811950683594,26.885499954223633,9.333250045776367,17.552249908447266,18.009082794189453,15.528083801269531,18.562084197998047,15.270000457763672,1044.0,239.0,28.0,73.8453598022461,509.0,93.0,202.0,106.0,1981.0
Apis mellifera,-1.376423,36.748309,Kenya,2025-04-26T10:41,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
Apis mellifera,-1.402934,35.125592,Kenya,2025-04-17T09:11,HUMAN_OBSERVATION,1,162.0,12.807104110717773,81.66104125976562,79.97371673583984,27.858999252319336,12.175749778747559,15.683249473571777,20.468666076660156,18.927791595458984,20.7882080078125,18.79395866394043,1027.0,162.0,30.0,42.63384246826172,390.0,136.0,376.0,140.0,1549.0
Apis mellifera,-1.267442,36.82097,Kenya,2025-05-11T11:51,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.241381,36.796337,Kenya,2025-05-18T10:14,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,0.293447,36.899103,Kenya,2025-05-17T09:31:47,HUMAN_OBSERVATION,1,146.0,14.717937469482422,79.92906188964844,59.94913101196289,26.892000198364258,8.478249549865723,18.41374969482422,18.32295799255371,17.37120819091797,18.32295799255371,16.932209014892578,769.0,146.0,18.0,57.24130630493164,301.0,85.0,301.0,160.0,1741.0
Apis mellifera,0.293455,36.898786,Kenya,2025-05-17T09:43:03,HUMAN_OBSERVATION,1,146.0,14.717937469482422,79.92906188964844,59.94913101196289,26.892000198364258,8.478249549865723,18.41374969482422,18.32295799255371,17.37120819091797,18.32295799255371,16.932209014892578,769.0,146.0,18.0,57.24130630493164,301.0,85.0,301.0,160.0,1741.0
Apis mellifera,0.305933,34.185022,Kenya,2025-05-18T14:22:58,HUMAN_OBSERVATION,1,262.0,11.798624992370605,83.8551254272461,62.04670715332031,29.41349983215332,15.343250274658203,14.070249557495117,22.367332458496094,22.514415740966797,22.769832611083984,21.193208694458008,1701.0,262.0,53.0,41.55879592895508,648.0,247.0,293.0,357.0,1250.0
Apis mellifera,-1.242845,36.797314,Kenya,2025-05-18T10:10,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
