species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,-1.400488,36.851738,Kenya,2025-10-24T10:34:06,HUMAN_OBSERVATION,1
Apis mellifera,-1.375592,36.746142,Kenya,2025-10-25T10:17:05,HUMAN_OBSERVATION,1
Apis mellifera,-1.375573,36.746111,Kenya,2025-10-25T10:14:03,HUMAN_OBSERVATION,1
Apis mellifera,-1.375678,36.746106,Kenya,2025-10-25T09:30:51,HUMAN_OBSERVATION,1
Apis mellifera,-1.375545,36.746043,Kenya,2025-10-25T10:09:59,HUMAN_OBSERVATION,1
Apis mellifera,-1.375564,36.746108,Kenya,2025-10-25T10:58:05,HUMAN_OBSERVATION,1
Apis mellifera,-0.331078,36.813957,Kenya,2025-11-05T00:57,HUMAN_OBSERVATION,1
Apis mellifera,-1.303844,36.694008,Kenya,2025-11-01T13:38:25,HUMAN_OBSERVATION,1
Apis mellifera,0.292195,36.898506,Kenya,2025-11-14T07:42:02,HUMAN_OBSERVATION,1
Apis mellifera,0.032431,36.911973,Kenya,2025-11-08T13:11:22,HUMAN_OBSERVATION,1
Apis mellifera,-1.236831,36.83038,Kenya,2025-12-06T08:22:45,HUMAN_OBSERVATION,1
Apis mellifera,-1.236831,36.83038,Kenya,2025-12-06T08:46:16,HUMAN_OBSERVATION,1
Apis mellifera,-1.209255,36.786786,Kenya,2025-12-12T19:54:18,HUMAN_OBSERVATION,1
Apis mellifera,-1.232769,36.815017,Kenya,2025-12-04T09:43:11,HUMAN_OBSERVATION,1
Apis mellifera,-1.288742,37.176165,Kenya,2025-12-19T15:50,HUMAN_OBSERVATION,1
Apis mellifera,-4.659003,39.37042,Kenya,2025-12-31T11:44:04,HUMAN_OBSERVATION,1
Apis mellifera,-2.138313,38.264874,Kenya,2025-12-27T20:39,HUMAN_OBSERVATION,1
Apis mellifera,-4.312908,39.577136,Kenya,2025-12-27T08:19,HUMAN_OBSERVATION,1
Apis mellifera,-4.313003,39.577636,Kenya,2025-12-24T10:53,HUMAN_OBSERVATION,1
Apis mellifera,-2.138344,38.264622,Kenya,2025-12-30T17:07,HUMAN_OBSERVATION,1
Apis mellifera,-0.392371,36.961194,Kenya,2024-01-01T11:51:13,HUMAN_OBSERVATION,1
Apis mellifera,-0.742137,36.450641,Kenya,2024-01-20T14:10:59,HUMAN_OBSERVATION,1
Apis mellifera,-1.26139,36.952022,Kenya,2024-01-14T10:11,HUMAN_OBSERVATION,1
Apis mellifera,-1.590413,35.235382,Kenya,2024-01-21T17:15,HUMAN_OBSERVATION,1
Apis mellifera,0.442617,36.811877,Kenya,2024-01-28T09:31,HUMAN_OBSERVATION,1
Apis mellifera,-0.025841,37.282575,Kenya,2024-02-26T15:22:50,HUMAN_OBSERVATION,1
Apis mellifera,-1.333611,36.751667,Kenya,2024-02-20T10:19,HUMAN_OBSERVATION,1
Apis mellifera,-1.209533,36.851368,Kenya,2024-03-08T15:33:10,HUMAN_OBSERVATION,1
Apis mellifera,-1.236553,35.02472,Kenya,2024-03-04T12:09,HUMAN_OBSERVATION,1
